time,v
1145,19.592615763346355
1146,18.75678168402778
1147,17.854925791422527
1148,16.89319716559516
1149,15.834598541259766
1150,14.678969913058811
1151,13.43059327867296
1152,12.061873541937935
1153,10.594709184434679
1154,9.09293598598904
1155,7.587343321906196
1156,6.140149964226617
1157,4.79572508070204
1158,3.5947359932793512
1159,2.5779671139187283
1160,1.7511447270711262
1161,1.1065424813164606
1162,0.6456714206271701
1163,0.32535341050889754
1164,0.12834548950195312
1165,0.02723905775282118
1166,0.0
1167,0.01613510979546441
1168,0.04874865214029948
1169,0.06602393256293403
1170,0.15578058030870226
1171,0.01864857143825955
1172,0.0
1173,0.0
1174,0.0
1175,0.0
1176,0.0
1177,0.0
1178,0.0
1179,0.0
1180,0.0
1181,0.0
1182,0.0
1183,0.0
1184,0.03986358642578125
1185,0.23387591044108072
1186,0.45906755659315324
1187,0.6982035107082791
1188,0.9539996253119575
1189,1.2092102898491754
1190,1.4683135350545247
1191,1.7049349678887262
1192,1.9214073816935222
1193,2.1053107579549155
1194,2.2694704267713757
1195,2.4105363421969943
1196,2.5325149959988065
1197,2.6526965035332575
1198,2.768004205491808
1199,2.867873509724935
1200,4.773977597554524
1201,4.362834824456109
1202,3.9057864083184137
1203,3.4395933151245117
1204,2.966837353176541
1205,2.5204441282484265
1206,2.1051544613308377
1207,1.719822883605957
1208,1.3903480105929904
1209,1.0976923836602106
1210,0.8574130800035265
1211,0.6366470124986436
1212,0.4432000054253472
1213,0.2666282653808594
1214,0.09189923604329427
1215,0.0
1216,0.0
1217,0.0
1218,0.0
1219,0.0
1220,0.0
1221,0.0
1222,0.0
1223,0.0
1224,0.0
1225,0.0
1226,0.0
1227,0.0
1228,0.0
1229,0.05501217312282986
1230,1.3789203431871202
1231,1.8798266516791449
1232,2.4282217025756836
1233,3.025683297051324
1234,3.6857483122083874
1235,4.374055332607693
1236,5.084244940016005
1237,5.782371097140842
1238,6.464520560370551
1239,7.095053990681966
1240,7.656635178460015
1241,8.132785691155327
1242,8.495451079474556
1243,8.763264020284018
1244,8.948494593302408
1245,9.066522386338976
1246,9.13119739956326
1247,9.163434770372179
1248,9.166038301255968
1249,9.153591791788736
1250,9.12316640218099
1251,9.083675808376736
1252,9.030292299058702
1253,8.967819213867188
1254,8.893756866455078
1255,8.795970810784233
1256,8.664328257242838
1257,8.506967226664225
1258,8.314161830478245
1259,8.065995110405815
1260,9.484035703870985
1261,9.197607040405273
1262,8.875585661994087
1263,8.512698279486763
1264,8.09779273139106
1265,7.6194508870442705
1266,7.079615063137478
1267,6.464310222201878
1268,5.811248355441624
1269,5.115121205647786
1270,4.397646056281196
1271,3.6814477708604603
1272,2.975068622165256
1273,2.306547164916992
1274,1.7080905702379015
1275,1.1864868799845378
1276,0.7655530505710177
1277,0.4419877794053819
1278,0.2022075653076172
1279,0.0360870361328125
1280,0.0
1281,0.0
1282,0.0
1283,0.0
1284,0.0
1285,0.0
1286,0.0
1287,0.0
1288,0.0
1289,0.0
1290,0.0
1291,0.0
1292,0.08500946892632379
1293,0.3529591030544705
1294,0.6151559617784288
1295,0.8792871899074979
1296,1.1564572652180989
1297,1.4425171746148004
1298,1.7780918545193143
1299,2.1341016557481556
1300,2.5401110119289823
1301,2.9693534639146595
1302,3.438804414537218
1303,3.9490148756239147
1304,4.472393989562988
1305,5.002964867485894
1306,5.542704264322917
1307,6.076326900058323
1308,6.613200505574544
1309,7.144422001308865
1310,7.677602238125271
1311,8.196599218580458
1312,8.697529368930393
1313,9.169997109307182
1314,9.613483217027452
1315,10.018995073106554
1316,10.387747022840712
1317,10.739414427015516
1318,11.080443064371744
1319,11.417038175794813
1320,12.539643181694878
1321,12.64333619011773
1322,12.720372941758898
1323,12.770006391737196
1324,12.81892564561632
1325,12.859651777479383
1326,12.905458874172634
1327,12.947154574924046
1328,12.984357410007053
1329,13.012531068589952
1330,13.019875420464409
1331,13.022802140977648
1332,12.99790488349067
1333,12.951471540662977
1334,12.887199189927843
1335,12.785914738972982
1336,12.629865010579428
1337,12.422796885172525
1338,12.158617443508572
1339,11.846160888671875
1340,11.474969651963976
1341,11.05990833706326
1342,10.605747434828016
1343,10.127784940931532
1344,9.638662338256836
1345,9.147706561618381
1346,8.65932994418674
1347,8.185904820760092
1348,7.733772065904406
1349,7.298172844780816
1350,9.889246622721354
1351,9.923104180230034
1352,9.955672158135307
1353,9.988320668538412
1354,10.017187330457899
1355,10.024621751573351
1356,9.989878336588541
1357,9.8506408267551
1358,9.601385328504774
1359,9.189209408230251
1360,8.610875871446398
