GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated),
Tue Feb 02 17:00:54 GMT+09:00 2021,02-2월-2021 17:00:57.776,127.040094723925,37.5657967524603,0.07,4.0,51.0,156.2,3.07654929,-3.16154337,9.22246456,0.06112295,
Tue Feb 02 17:00:55 GMT+09:00 2021,02-2월-2021 17:00:58.775,127.0400992501527,37.56578610744327,0.0,4.0,51.0,0.0,2.99634337,-3.14598107,9.14585018,0.05114132,
Tue Feb 02 17:00:56 GMT+09:00 2021,02-2월-2021 17:00:59.775,127.0400992501527,37.56578610744327,0.0,3.5,51.0,0.0,3.08253479,-3.15555787,9.18535519,0.05770701,
Tue Feb 02 17:00:57 GMT+09:00 2021,02-2월-2021 17:01:00.775,127.0400992501527,37.56578610744327,0.0,3.5,51.0,0.0,2.97718978,-3.18787956,9.3493576,0.07066327,
Tue Feb 02 17:00:58 GMT+09:00 2021,02-2월-2021 17:01:01.776,127.0400992501527,37.56578610744327,0.0,3.5,51.0,0.0,3.07056379,-3.07535219,9.10993767,0.04789084,
Tue Feb 02 17:00:59 GMT+09:00 2021,02-2월-2021 17:01:02.777,127.0400992501527,37.56578610744327,0.0,3.5,51.0,0.0,2.95923328,-2.82156682,9.43195724,0.06691879,
Tue Feb 02 17:01:00 GMT+09:00 2021,02-2월-2021 17:01:03.776,127.0400992501527,37.56578610744327,0.0,3.5,51.0,0.0,3.07774639,-1.65439332,9.57321548,0.0578354,
Tue Feb 02 17:01:01 GMT+09:00 2021,02-2월-2021 17:01:04.775,127.04010101035237,37.56577814463526,0.51,3.5,51.0,165.1,3.19865346,-3.53384161,8.7747488,0.03691751,
Tue Feb 02 17:01:02 GMT+09:00 2021,02-2월-2021 17:01:05.775,127.04010738059878,37.56576406303793,1.63,3.5,52.0,181.5,3.03943896,-3.26449394,9.25718117,0.06647438,
Tue Feb 02 17:01:03 GMT+09:00 2021,02-2월-2021 17:01:06.776,127.04010620713234,37.56575123872608,0.7,3.5,52.0,184.1,3.01908827,-3.48595762,9.06684208,0.05592531,
Tue Feb 02 17:01:04 GMT+09:00 2021,02-2월-2021 17:01:07.776,127.04010536894202,37.565744910389185,0.51,3.5,52.0,186.1,2.94127679,-3.64636922,9.04649067,0.05748588,
Tue Feb 02 17:01:05 GMT+09:00 2021,02-2월-2021 17:01:08.776,127.0400997530669,37.56574067752808,0.08,3.5,53.0,186.9,2.98317528,-3.17710567,9.28591156,0.06464237,
Tue Feb 02 17:01:06 GMT+09:00 2021,02-2월-2021 17:01:09.776,127.0400995016098,37.56574063561857,0.0,3.5,53.0,0.0,3.00352597,-3.13161588,9.1422596,0.05057365,
Tue Feb 02 17:01:07 GMT+09:00 2021,02-2월-2021 17:01:10.776,127.04009740613401,37.56573895923793,0.0,3.0,53.0,0.0,3.09689999,-3.10767388,9.22246456,0.06006509,
Tue Feb 02 17:01:08 GMT+09:00 2021,02-2월-2021 17:01:11.776,127.04009740613401,37.56573895923793,0.0,3.5,53.0,0.0,3.08852029,-3.17949986,9.3493576,0.07373136,
Tue Feb 02 17:01:09 GMT+09:00 2021,02-2월-2021 17:01:12.775,127.04009740613401,37.56573895923793,0.0,3.5,53.0,0.0,3.13401008,-2.79642749,9.38167953,0.06680876,
Tue Feb 02 17:01:10 GMT+09:00 2021,02-2월-2021 17:01:13.775,127.04009740613401,37.56573895923793,0.0,3.5,53.0,0.0,2.95324779,-2.84072042,9.32421875,0.05721718,
Tue Feb 02 17:01:11 GMT+09:00 2021,02-2월-2021 17:01:14.776,127.04009589739144,37.56573342718184,0.53999996,4.0,53.0,187.1,3.11964488,-2.99993467,9.32661247,0.06710404,
Tue Feb 02 17:01:12 GMT+09:00 2021,02-2월-2021 17:01:15.776,127.04009723849595,37.565726805478334,0.57,3.5,53.0,188.8,3.10049129,-3.19266796,9.16141319,0.05724353,
Tue Feb 02 17:01:13 GMT+09:00 2021,02-2월-2021 17:01:16.776,127.0400944724679,37.56571959704161,0.35999998,3.5,53.0,189.0,3.03465056,-3.57334614,9.04290009,0.05731493,
Tue Feb 02 17:01:14 GMT+09:00 2021,02-2월-2021 17:01:17.776,127.04009313136339,37.565715657547116,0.45999998,3.5,54.0,189.2,2.96881008,-3.30160403,9.18056679,0.0585416,
Tue Feb 02 17:01:15 GMT+09:00 2021,02-2월-2021 17:01:18.776,127.04009455628693,37.56571155041456,0.02,3.5,54.0,189.2,2.95444489,-3.01789117,9.23922443,0.05454785,
Tue Feb 02 17:01:16 GMT+09:00 2021,02-2월-2021 17:01:19.776,127.0401010941714,37.56570844911039,0.0,3.5,55.0,0.0,3.15316367,-3.01070857,9.18415737,0.0553295,
Tue Feb 02 17:01:17 GMT+09:00 2021,02-2월-2021 17:01:20.776,127.04010033980012,37.56570744328201,0.0,3.5,55.0,0.0,3.11964488,-3.32913756,9.00339508,0.0478875,
Tue Feb 02 17:01:18 GMT+09:00 2021,02-2월-2021 17:01:21.775,127.04010033980012,37.56570744328201,0.0,3.5,55.0,0.0,2.96282458,-3.11964488,9.30027676,0.06356949,
Tue Feb 02 17:01:19 GMT+09:00 2021,02-2월-2021 17:01:22.775,127.04010033980012,37.56570744328201,0.0,3.5,55.0,0.0,3.03465056,-3.19386506,9.32421875,0.07023937,
Tue Feb 02 17:01:20 GMT+09:00 2021,02-2월-2021 17:01:23.776,127.04010033980012,37.56570744328201,0.0,3.5,55.0,0.0,3.11246228,-3.18787956,9.28351688,0.06867021,
Tue Feb 02 17:01:21 GMT+09:00 2021,02-2월-2021 17:01:24.776,127.04010033980012,37.56570744328201,0.0,3.5,55.0,0.0,3.08253479,-3.20104766,9.29668522,0.06937987,
Tue Feb 02 17:01:22 GMT+09:00 2021,02-2월-2021 17:01:25.777,127.04010033980012,37.56570744328201,0.0,3.5,55.0,0.0,3.18069696,-3.16274047,9.27872849,0.06956524,
Tue Feb 02 17:01:23 GMT+09:00 2021,02-2월-2021 17:01:26.777,127.04010033980012,37.56570744328201,0.0,3.5,55.0,0.0,3.10408258,-3.16513467,9.17817211,0.05801672,
Tue Feb 02 17:01:24 GMT+09:00 2021,02-2월-2021 17:01:27.775,127.04010033980012,37.56570744328201,0.0,3.5,55.0,0.0,3.14837527,-3.20344186,9.24640656,0.06687027,
Tue Feb 02 17:01:25 GMT+09:00 2021,02-2월-2021 17:01:28.776,127.04010033980012,37.56570744328201,0.0,3.5,55.0,0.0,3.11725068,-2.8993783,9.15782166,0.04845732,
Tue Feb 02 17:01:26 GMT+09:00 2021,02-2월-2021 17:01:29.776,127.04010033980012,37.56570744328201,0.0,3.5,55.0,0.0,3.02866507,-3.19027376,9.29309368,0.06707805,
Tue Feb 02 17:01:27 GMT+09:00 2021,02-2월-2021 17:01:30.776,127.04010033980012,37.56570744328201,0.0,3.5,55.0,0.0,3.09929419,-3.40694904,9.01057816,0.05054516,
Tue Feb 02 17:01:28 GMT+09:00 2021,02-2월-2021 17:01:31.776,127.04010033980012,37.56570744328201,0.0,3.5,55.0,0.0,3.15316367,-3.12203908,9.09796619,0.05084282,
Tue Feb 02 17:01:29 GMT+09:00 2021,02-2월-2021 17:01:32.776,127.04010033980012,37.56570744328201,0.0,3.5,55.0,0.0,3.17590857,-3.11844778,9.13387966,0.05474442,
Tue Feb 02 17:01:30 GMT+09:00 2021,02-2월-2021 17:01:33.776,127.04010033980012,37.56570744328201,0.0,3.0,55.0,0.0,3.13161588,-2.77607679,9.28351688,0.05704147,
Tue Feb 02 17:01:31 GMT+09:00 2021,02-2월-2021 17:01:34.776,127.04010033980012,37.56570744328201,0.0,3.0,55.0,0.0,3.13401008,-3.09450579,9.29309368,0.06731266,
Tue Feb 02 17:01:32 GMT+09:00 2021,02-2월-2021 17:01:35.776,127.04010033980012,37.56570744328201,0.0,3.5,55.0,0.0,3.12084198,-3.77326179,8.88368511,0.05302817,
Tue Feb 02 17:01:33 GMT+09:00 2021,02-2월-2021 17:01:36.776,127.04010033980012,37.56570744328201,0.0,3.5,55.0,0.0,3.03345346,-3.06577539,9.11592293,0.04700047,
Tue Feb 02 17:01:34 GMT+09:00 2021,02-2월-2021 17:01:37.776,127.04010033980012,37.56570744328201,0.0,3.5,55.0,0.0,2.95324779,-3.10408258,9.15303326,0.04919237,
Tue Feb 02 17:01:35 GMT+09:00 2021,02-2월-2021 17:01:38.776,127.04010033980012,37.56570744328201,0.0,3.5,55.0,0.0,2.93409419,-2.7533319,9.26196957,0.048379,
