GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated),
Tue Feb 02 18:25:12 GMT+09:00 2021,02-2월-2021 18:25:16.302,127.04173841513693,37.56502955686301,0.0,3.5,44.0,0.0,2.80720139,-3.02028537,9.48223591,0.07302493,
Tue Feb 02 18:25:13 GMT+09:00 2021,02-2월-2021 18:25:17.302,127.04173841513693,37.56502955686301,0.0,3.5,44.0,0.0,2.59651184,-2.9101522,9.34576607,0.05130428,
Tue Feb 02 18:25:14 GMT+09:00 2021,02-2월-2021 18:25:18.302,127.04173841513693,37.56502955686301,0.0,3.5,44.0,0.0,2.71861601,-3.01549697,9.44752026,0.06721431,
Tue Feb 02 18:25:15 GMT+09:00 2021,02-2월-2021 18:25:19.302,127.04173841513693,37.56502955686301,0.0,3.5,44.0,0.0,2.68509722,-2.93409419,9.21408558,0.0420211,
Tue Feb 02 18:25:16 GMT+09:00 2021,02-2월-2021 18:25:20.302,127.04173841513693,37.56502955686301,0.0,3.5,44.0,0.0,2.71023631,-2.99394917,9.43794346,0.06544906,
Tue Feb 02 18:25:17 GMT+09:00 2021,02-2월-2021 18:25:21.301,127.04173841513693,37.56502955686301,0.0,3.5,44.0,0.0,2.70664501,-2.94965649,9.35773754,0.05652255,
Tue Feb 02 18:25:18 GMT+09:00 2021,02-2월-2021 18:25:22.301,127.04173841513693,37.56502955686301,0.0,3.5,44.0,0.0,2.55221891,-2.94247389,9.33259869,0.04986972,
Tue Feb 02 18:25:19 GMT+09:00 2021,02-2월-2021 18:25:23.301,127.04173841513693,37.56502955686301,0.0,3.5,44.0,0.0,2.79523039,-3.02866507,9.43794346,0.06880504,
Tue Feb 02 18:25:20 GMT+09:00 2021,02-2월-2021 18:25:24.302,127.04173841513693,37.56502955686301,0.0,3.5,44.0,0.0,2.54024792,-2.92451739,9.30865574,0.04677731,
Tue Feb 02 18:25:21 GMT+09:00 2021,02-2월-2021 18:25:25.302,127.04173841513693,37.56502955686301,0.0,3.5,44.0,0.0,2.69706821,-2.96402168,9.43315506,0.06376022,
Tue Feb 02 18:25:22 GMT+09:00 2021,02-2월-2021 18:25:26.302,127.04173841513693,37.56502955686301,0.0,3.5,44.0,0.0,2.7569232,-2.92451739,9.2212677,0.04439098,
Tue Feb 02 18:25:23 GMT+09:00 2021,02-2월-2021 18:25:27.302,127.04173841513693,37.56502955686301,0.0,3.5,44.0,0.0,2.81318688,-3.03345346,9.48223591,0.07358354,
Tue Feb 02 18:25:24 GMT+09:00 2021,02-2월-2021 18:25:28.302,127.04173841513693,37.56502955686301,0.0,3.5,44.0,0.0,2.69108272,-2.95444489,9.25598335,0.04671246,
Tue Feb 02 18:25:25 GMT+09:00 2021,02-2월-2021 18:25:29.302,127.04173841513693,37.56502955686301,0.0,3.5,44.0,0.0,2.754529,-3.02627087,9.47026443,0.07063824,
Tue Feb 02 18:25:26 GMT+09:00 2021,02-2월-2021 18:25:30.302,127.04173841513693,37.56502955686301,0.0,3.5,44.0,0.0,2.68509722,-2.93289709,9.27992535,0.04815096,
Tue Feb 02 18:25:27 GMT+09:00 2021,02-2월-2021 18:25:31.302,127.04173841513693,37.56502955686301,0.0,3.5,44.0,0.0,2.63601613,-2.99275208,9.46906757,0.06636471,
Tue Feb 02 18:25:28 GMT+09:00 2021,02-2월-2021 18:25:32.302,127.04173841513693,37.56502955686301,0.0,3.5,44.0,0.0,2.7353754,-2.92332029,9.25957489,0.04733866,
Tue Feb 02 18:25:29 GMT+09:00 2021,02-2월-2021 18:25:33.302,127.04173841513693,37.56502955686301,0.0,3.5,44.0,0.0,2.63362193,-2.98556948,9.45111084,0.06440192,
Tue Feb 02 18:25:30 GMT+09:00 2021,02-2월-2021 18:25:34.302,127.04173841513693,37.56502955686301,0.0,3.5,44.0,0.0,5.29836845,-2.95564198,8.14866543,0.05459589,
Tue Feb 02 18:25:31 GMT+09:00 2021,02-2월-2021 18:25:35.302,127.04173841513693,37.56502955686301,0.0,3.5,44.0,0.0,1.59094703,-6.05134487,11.91115379,0.39051574,
Tue Feb 02 18:25:32 GMT+09:00 2021,02-2월-2021 18:25:36.302,127.04173841513693,37.56502955686301,0.0,3.5,44.0,0.0,0.20829555,5.25527287,12.10508347,0.36438936,
Tue Feb 02 18:25:33 GMT+09:00 2021,02-2월-2021 18:25:37.302,127.04173531383276,37.56503370590508,0.51,3.5,43.0,359.6,1.66995573,8.04571438,6.28597641,0.07361859,
Tue Feb 02 18:25:34 GMT+09:00 2021,02-2월-2021 18:25:38.302,127.04174109734595,37.56504020188004,0.29,3.5,44.0,0.4,3.78283858,-7.04374123,20.34712219,1.24750137,
Tue Feb 02 18:25:35 GMT+09:00 2021,02-2월-2021 18:25:39.302,127.04174922779202,37.56504414137453,0.32999998,3.5,43.0,3.1,4.48194551,-1.22463417,8.43357563,0.00052357,
Tue Feb 02 18:25:36 GMT+09:00 2021,02-2월-2021 18:25:40.301,127.04175434075296,37.56505457684398,2.01,3.5,43.0,359.0,2.85987401,-1.43771815,9.77672291,0.06766278,
Tue Feb 02 18:25:37 GMT+09:00 2021,02-2월-2021 18:25:41.301,127.04175584949553,37.565083033405244,4.77,4.0,43.0,0.5,3.01669407,-1.58137023,9.76235771,0.07297319,
Tue Feb 02 18:25:38 GMT+09:00 2021,02-2월-2021 18:25:42.302,127.0417607948184,37.56512590683997,5.89,3.5,43.0,359.2,2.62165093,-2.07098436,9.79946709,0.07438594,
Tue Feb 02 18:25:39 GMT+09:00 2021,02-2월-2021 18:25:43.302,127.04175677150488,37.56518168840557,7.1099997,3.5,43.0,359.5,1.9405005,-3.76847339,8.89206505,0.02314597,
Tue Feb 02 18:25:40 GMT+09:00 2021,02-2월-2021 18:25:44.302,127.04175811260939,37.56524983327836,7.6499996,3.5,43.0,359.0,1.32399356,-3.80199242,8.80108547,0.00556284,
Tue Feb 02 18:25:41 GMT+09:00 2021,02-2월-2021 18:25:45.302,127.04175199382007,37.565314709208906,6.99,3.0,42.0,354.6,1.9321208,-3.8798039,9.25718117,0.06095845,
Tue Feb 02 18:25:42 GMT+09:00 2021,02-2월-2021 18:25:46.302,127.04173556528986,37.565371370874345,6.49,3.0,41.0,342.7,1.69868612,-3.19266796,9.44991398,0.05042475,
